"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401523999101849902","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239991","1","1","1","15","0","3","3","35","65","1","10","false","0","Kickoff","Jack Stone kickoff for 65 yds for a touchback",,"2023-09-09T16:09:47.000Z"
"401523999101849903","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239991","1","2","1","15","0","3","3","75","75","1","10","false","-5","Penalty","Utah Penalty, Delay of Game (-5 Yards) to the UTAH 20",,"2023-09-09T16:09:47.000Z"
"401523999101854501","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239991","1","3","1","14","54","3","3","80","80","1","15","false","11","Rush","Ja'Quinden Jackson run for 11 yds to the UTAH 31","1.07479277930221607","2023-09-09T16:11:44.000Z"
"401523999101857601","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239991","1","4","1","14","23","3","3","69","69","2","4","false","-1","Rush","Ja'Quinden Jackson run for a loss of 1 yard to the UTAH 30","-0.99256215658499425","2023-09-09T16:12:14.000Z"
"401523999101865201","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239991","1","5","1","13","47","3","3","70","70","3","5","false","10","Rush","Bryson Barnes run for 10 yds to the UTAH 40 for a 1ST down","1.98004187111007205","2023-09-09T16:13:04.000Z"
"401523999101874201","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239991","1","6","1","12","57","3","3","60","60","1","10","false","5","Rush","Nate Johnson run for 5 yds to the UTAH 45","0.1106144250151839","2023-09-09T16:13:38.000Z"
"401523999101877301","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239991","1","7","1","12","26","3","3","55","55","2","5","false","1","Rush","Ja'Quinden Jackson run for 1 yd to the UTAH 46","-0.9460322471233891","2023-09-09T16:14:17.000Z"
"401523999101886501","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239991","1","8","1","11","34","3","3","54","54","3","4","false","-2","Sack","Bryson Barnes sacked by Gabe Hall for a loss of 2 yards to the UTAH 44","-1.12893931171936755","2023-09-09T16:15:10.000Z"
"401523999101894701","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239991","1","9","1","10","52","3","3","56","56","4","6","false","0","Punt","Jack Bouwmeester punt for 56 yds for a touchback",,"2023-09-09T16:15:27.000Z"
"401523999101895501","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239992","2","1","1","10","44","3","3","20","80","1","10","false","11","Pass Reception","Sawyer Robertson pass complete to Jonah Burton for 11 yds to the BAY 31 for a 1ST down","0.7787667904900531","2023-09-09T16:16:36.000Z"
"401523999101898102","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239992","2","2","1","10","18","3","3","31","69","1","10","false","-3","Rush","Dominic Richardson run for a loss of 3 yards to the BAY 28","-1.24420957550886872","2023-09-09T16:16:50.000Z"
"401523999101906101","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239992","2","3","1","9","38","3","3","28","72","2","13","false","1","Pass Reception","Sawyer Robertson pass complete to Dominic Richardson for 1 yd to the BAY 29","-0.25909109190953572","2023-09-09T16:17:21.000Z"
"401523999101908001","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239992","2","4","1","9","19","3","3","29","71","3","12","false","0","Pass Incompletion","Sawyer Robertson pass incomplete to Ketron Jackson Jr.","-0.16735933727650121","2023-09-09T16:17:40.000Z"
"401523999101909301","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239992","2","5","1","9","6","3","3","29","71","4","12","false","26","Punt","Palmer Williams punt for 51 yds , Mycah Pittman returns for 26 yds to the UTAH 46",,"2023-09-09T16:19:11.000Z"
"401523999101909901","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239993","3","1","1","9","0","3","3","54","54","1","10","false","0","Pass Incompletion","Bryson Barnes pass incomplete to Money Parks","-1.1590089706435955","2023-09-09T16:22:13.000Z"
"401523999101914401","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239993","3","2","1","8","55","3","3","54","54","2","10","false","1","Rush","Nate Johnson run for 1 yd to the UTAH 47","-0.7678965499234565","2023-09-09T16:23:34.000Z"
"401523999101918901","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239993","3","3","1","8","10","3","3","53","53","3","9","false","0","Pass Incompletion","Bryson Barnes pass incomplete to Devaughn Vele","-0.65424065236217732","2023-09-09T16:24:00.000Z"
"401523999101919701","Utah","Pac-12","Baylor","Big 12","Baylor","Utah","0","0","401523999","4015239993","3","4","1","8","2","3","3","53","53","4","9","false","0","Punt","Jack Bouwmeester punt for 45 yds, fair catch by Josh Cameron at the BAY 8",,"2023-09-09T16:24:19.000Z"
"401523999101924301","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239994","4","1","1","7","56","3","3","8","92","1","10","false","3","Rush","Dominic Richardson run for 3 yds to the BAY 11","-0.132400280951985758","2023-09-09T16:25:11.000Z"
"401523999101926501","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239994","4","2","1","7","34","3","3","11","89","2","7","false","-5","Penalty","Baylor Penalty, False Start (Alvin Ebosele) to the BAY 6",,"2023-09-09T16:26:10.000Z"
"401523999101934301","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239994","4","3","1","6","56","3","3","6","94","2","12","false","0","Pass Incompletion","Sawyer Robertson pass incomplete to Ketron Jackson Jr.","-0.09458539918485442","2023-09-09T16:26:26.000Z"
"401523999101935401","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239994","4","4","1","6","45","3","3","6","94","3","12","false","13","Rush","Dominic Richardson run for 13 yds to the BAY 19 for a 1ST down","0.90111541603006446","2023-09-09T16:27:16.000Z"
"401523999101938001","Baylor","Big 12","Utah","Pac-12","Baylor","Utah","0","0","401523999","4015239994","4","5","1","6","19","3","3","19","81","1","10","false","-3","Rush","Richard Reese run for a loss of 3 yards to the BAY 16","-0.7153237677572752","2023-09-09T16:28:04.000Z"
