"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401520176101849902","Utah","Pac-12","Florida","SEC","Utah","Florida","0","0","401520176","4015201761","1","1","1","15","0","3","3","35","65","1","10","false","19","Kickoff Return (Offense)","Cole Becker kickoff for 65 yds , Trevor Etienne return for 19 yds to the FLA 19",,"2023-09-01T00:07:10.000Z"
"401520176101855901","Florida","SEC","Utah","Pac-12","Utah","Florida","0","0","401520176","4015201761","1","2","1","14","40","3","3","81","81","1","10","false","8","Pass Reception","Graham Mertz pass complete to Kahleil Jackson for 8 yds to the FLA 27","0.7756370382176572","2023-09-01T00:07:43.000Z"
"401520176101858901","Florida","SEC","Utah","Pac-12","Utah","Florida","0","0","401520176","4015201761","1","3","1","14","10","3","3","73","73","2","2","false","1","Pass Reception","Graham Mertz pass complete to Ricky Pearsall for 1 yd to the FLA 28","-0.7786010421629532","2023-09-01T00:08:19.000Z"
"401520176101864801","Florida","SEC","Utah","Pac-12","Utah","Florida","0","0","401520176","4015201761","1","4","1","13","51","3","3","72","72","3","1","false","-5","Penalty","Florida Penalty, False Start (Damieon George Jr.) to the FLA 23",,"2023-09-01T00:08:46.000Z"
"401520176101866901","Florida","SEC","Utah","Pac-12","Utah","Florida","0","0","401520176","4015201761","1","5","1","13","30","3","3","77","77","3","6","false","0","Pass Incompletion","Graham Mertz pass incomplete to Montrell Johnson Jr.","-0.22398022422976105","2023-09-01T00:09:30.000Z"
"401520176101867801","Florida","SEC","Utah","Pac-12","Utah","Florida","0","0","401520176","4015201761","1","6","1","13","21","3","3","77","77","4","6","false","0","Punt","Jeremy Crawshaw punt for 47 yds , Mycah Pittman returns for no gain to the UTAH 30",,"2023-09-01T00:10:36.000Z"
"401520176101868901","Utah","Pac-12","Florida","SEC","Utah","Florida","7","0","401520176","4015201762","2","1","1","13","10","3","3","30","70","1","10","true","70","Passing Touchdown","Money Parks 70 Yd pass from Bryson Barnes (Cole Becker Kick)","5.6927865189043434","2023-09-01T00:11:19.000Z"
"401520176101868903","Utah","Pac-12","Florida","SEC","Utah","Florida","7","0","401520176","4015201763","3","1","1","13","10","3","3","35","65","1","10","false","0","Kickoff","Cole Becker kickoff for 65 yds for a touchback",,"2023-09-01T00:15:10.000Z"
"401520176101874301","Florida","SEC","Utah","Pac-12","Utah","Florida","0","7","401520176","4015201763","3","2","1","12","56","3","3","75","75","1","10","false","5","Rush","Graham Mertz run for 5 yds to the FLA 30","0.0945451165334843","2023-09-01T00:16:22.000Z"
"401520176101876901","Florida","SEC","Utah","Pac-12","Utah","Florida","0","7","401520176","4015201763","3","3","1","12","30","3","3","70","70","2","5","false","0","Rush","Trevor Etienne run for no gain to the FLA 30","-0.75373247206591025","2023-09-01T00:17:24.000Z"
