"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401524012101854401","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240121","1","1","1","14","55","3","3","35","65","0","0","false","0","Kickoff","Chase Carter kickoff for 61 yds",,"2023-09-16T18:02:29.000Z"
"401524012101854403","Weber State","Big Sky","Utah","Pac-12","Utah","Weber State","0","0","401524012","4015240121","1","2","1","14","55","3","3","73","73","1","10","false","0","Pass Incompletion","Kylan Weisser pass incomplete","-0.76604703567364395","2023-09-16T18:02:29.000Z"
"401524012101854404","Weber State","Big Sky","Utah","Pac-12","Utah","Weber State","0","0","401524012","4015240121","1","3","1","14","55","3","3","73","73","2","10","false","0","Pass Incompletion","Kylan Weisser pass incomplete","-0.38908432202260102","2023-09-16T18:02:29.000Z"
"401524012101854405","Weber State","Big Sky","Utah","Pac-12","Utah","Weber State","0","0","401524012","4015240121","1","4","1","14","55","3","3","73","73","3","10","false","3","Rush","Damon Bankston run for 3 yds to the WEB 30","-0.08096353082833918","2023-09-16T18:02:29.000Z"
"401524012101864501","Weber State","Big Sky","Utah","Pac-12","Utah","Weber State","0","0","401524012","4015240121","1","5","1","13","54","3","3","70","70","4","7","false","0","Punt","Jack Burgess punt for 39 yds",,"2023-09-16T18:04:44.000Z"
"401524012101864503","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","1","1","13","54","3","3","31","69","1","10","false","9","Pass Reception","Nate Johnson pass complete to Thomas Yassmin for 9 yds to the UTAH 40","1.3649000856171404","2023-09-16T18:04:44.000Z"
"401524012101864504","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","2","1","13","54","3","3","40","60","2","1","false","7","Rush","Ja'Quinden Jackson run for 7 yds to the UTAH 47 for a 1ST down","0.1470914859246016","2023-09-16T18:04:44.000Z"
"401524012101864505","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","3","1","13","54","3","3","47","53","1","10","false","33","Pass Reception","Nate Johnson pass complete to Munir McClain for 33 yds to the WEB 20 for a 1ST down","1.4773717045416087","2023-09-16T18:04:44.000Z"
"401524012101864506","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","4","1","13","54","3","3","80","20","1","10","false","2","Rush","Ja'Quinden Jackson run for 2 yds to the WEB 18","-0.205294804469698","2023-09-16T18:04:44.000Z"
"401524012101864507","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","5","1","13","54","3","3","82","18","2","8","false","7","Rush","Ja'Quinden Jackson run for 7 yds to the WEB 11","0.253620337958429","2023-09-16T18:04:44.000Z"
"401524012101864508","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","6","1","13","54","3","3","89","11","3","1","false","4","Rush","Jaylon Glover run for 4 yds to the WEB 7 for a 1ST down","0.372847565215757","2023-09-16T18:04:44.000Z"
"401524012101864509","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","7","1","13","54","3","3","93","7","1","7","false","1","Rush","Jaylon Glover run for 1 yd to the WEB 6","-0.331912362454727","2023-09-16T18:04:44.000Z"
"401524012101864510","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","8","1","13","54","3","3","94","6","2","6","false","2","Pass Reception","Nate Johnson pass complete to Money Parks for 2 yds to the WEB 4","-0.1673059286946435","2023-09-16T18:04:44.000Z"
"401524012101915901","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","9","1","8","40","3","2","99","1","4","1","false","0","Timeout","Timeout Weber State, clock 08:40",,"2023-09-16T18:11:32.000Z"
"401524012101915902","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","0","0","401524012","4015240122","2","10","1","8","40","3","2","96","4","3","4","false","3","Rush","Jaylon Glover run for 3 yds to the WEB 1","-0.0897810533795195","2023-09-16T18:12:00.000Z"
"401524012101916401","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","7","0","401524012","4015240122","2","11","1","8","35","3","2","99","1","4","1","true","1","Rushing Touchdown","Nate Johnson run for 1 yd for a TD (Joey Cheek KICK)","2.785753974856101","2023-09-16T18:14:53.000Z"
"401524012101917101","Utah","Pac-12","Weber State","Big Sky","Utah","Weber State","7","0","401524012","4015240123","3","1","1","8","28","3","2","35","65","0","0","false","0","Kickoff Return (Offense)","Chase Carter kickoff for 56 yds ,  return for no gain to the WEB 20",,"2023-09-16T18:19:27.000Z"
"401524012101917103","Weber State","Big Sky","Utah","Pac-12","Utah","Weber State","0","7","401524012","4015240123","3","2","1","8","28","2","3","80","80","1","10","false","7","Rush","Damon Bankston run for 7 yds to the WEB 27","0.5253025865520424","2023-09-16T18:19:27.000Z"
"401524012101917104","Weber State","Big Sky","Utah","Pac-12","Utah","Weber State","0","7","401524012","4015240123","3","3","1","8","28","2","3","73","73","2","3","false","11","Pass Reception","Kylan Weisser pass complete to Jayleen Record for 11 yds to the WEB 38 for a 1ST down","0.9077515683735698","2023-09-16T18:19:27.000Z"
"401524012101917105","Weber State","Big Sky","Utah","Pac-12","Utah","Weber State","0","7","401524012","4015240123","3","4","1","8","28","2","3","62","62","1","10","false","0","Pass Incompletion","Kylan Weisser pass incomplete","-1.0879950771673279","2023-09-16T18:19:27.000Z"
